timestamp,open,high,low,close,volume
2026-05-12 09:15:00,974.0,974.95,955.65,963.25,441096.0
2026-05-12 09:20:00,962.95,966.1,959.0,963.0,105435.0
2026-05-12 09:25:00,962.75,968.65,960.0,960.25,97894.0
2026-05-12 09:30:00,960.7,960.7,952.85,953.45,136061.0
2026-05-12 09:35:00,953.55,957.0,953.45,954.9,58224.0
2026-05-12 09:40:00,954.7,963.15,954.5,962.1,68033.0
2026-05-12 09:45:00,962.1,963.85,960.9,962.6,43053.0
2026-05-12 09:50:00,962.6,963.0,959.0,960.8,31301.0
2026-05-12 09:55:00,960.5,961.0,956.3,956.6,37020.0
2026-05-12 10:00:00,956.45,958.05,952.55,954.0,55016.0
2026-05-12 10:05:00,953.7,953.9,948.25,950.5,94077.0
2026-05-12 10:10:00,950.05,954.05,950.0,953.45,32004.0
2026-05-12 10:15:00,953.05,953.05,950.65,952.55,30310.0
2026-05-12 10:20:00,952.05,954.0,951.2,952.4,37721.0
2026-05-12 10:25:00,952.4,952.95,948.1,948.65,34545.0
2026-05-12 10:30:00,948.65,949.8,946.8,947.55,45623.0
2026-05-12 10:35:00,947.0,956.1,944.45,956.1,89080.0
2026-05-12 10:40:00,955.85,962.5,954.1,961.3,102816.0
2026-05-12 10:45:00,962.3,962.3,953.45,953.7,101322.0
2026-05-12 10:50:00,953.2,955.1,950.35,951.55,49587.0
2026-05-12 10:55:00,951.25,953.45,950.5,952.4,37909.0
2026-05-12 11:00:00,952.0,952.8,947.0,948.75,72037.0
2026-05-12 11:05:00,948.75,949.8,948.1,948.9,22925.0
2026-05-12 11:10:00,948.7,950.0,948.15,949.4,12745.0
2026-05-12 11:15:00,949.25,952.15,949.0,951.7,16373.0
2026-05-12 11:20:00,951.7,952.75,945.8,946.05,57614.0
2026-05-12 11:25:00,946.45,947.35,939.9,941.05,119747.0
2026-05-12 11:30:00,941.0,944.9,938.4,939.75,74012.0
2026-05-12 11:35:00,940.05,940.35,933.6,934.0,167523.0
2026-05-12 11:40:00,933.7,936.0,933.1,934.5,71453.0
2026-05-12 11:45:00,934.2,935.4,933.1,933.9,34181.0
2026-05-12 11:50:00,933.6,935.1,933.6,935.1,17542.0
2026-05-12 11:55:00,935.0,937.0,934.5,935.55,61552.0
2026-05-12 12:00:00,935.2,937.0,934.5,934.95,57600.0
2026-05-12 12:05:00,934.65,935.0,933.0,934.35,30990.0
2026-05-12 12:10:00,934.0,935.0,933.6,933.9,11950.0
2026-05-12 12:15:00,933.65,935.0,933.2,934.45,12895.0
2026-05-12 12:20:00,934.25,934.6,932.05,933.75,19123.0
2026-05-12 12:25:00,934.1,938.0,933.1,935.65,111942.0
2026-05-12 12:30:00,935.0,938.9,934.5,936.8,90630.0
2026-05-12 12:35:00,936.8,937.95,935.4,937.6,66674.0
2026-05-12 12:40:00,937.6,940.0,936.5,938.35,123653.0
2026-05-12 12:45:00,938.55,939.8,935.65,936.25,28848.0
2026-05-12 12:50:00,936.25,938.0,935.45,938.0,38241.0
2026-05-12 12:55:00,937.95,939.6,937.6,938.45,91595.0
2026-05-12 13:00:00,938.45,939.0,936.45,937.0,28971.0
2026-05-12 13:05:00,936.85,937.0,933.4,935.0,53878.0
2026-05-12 13:10:00,934.85,936.5,933.65,936.2,31817.0
2026-05-12 13:15:00,936.2,937.0,935.9,936.2,12934.0
2026-05-12 13:20:00,936.3,937.0,935.0,935.95,20396.0
2026-05-12 13:25:00,935.55,936.0,933.5,934.2,41353.0
2026-05-12 13:30:00,934.15,935.0,934.0,934.65,14210.0
2026-05-12 13:35:00,934.6,935.0,933.0,933.65,25966.0
2026-05-12 13:40:00,933.65,934.6,929.0,930.0,138105.0
2026-05-12 13:45:00,930.0,934.9,928.55,934.4,105964.0
2026-05-12 13:50:00,934.0,935.7,929.05,929.65,73016.0
2026-05-12 13:55:00,929.25,930.9,927.15,929.3,66376.0
2026-05-12 14:00:00,929.05,929.3,927.1,928.05,27631.0
2026-05-12 14:05:00,928.15,929.15,927.0,927.6,30163.0
2026-05-12 14:10:00,927.6,928.4,925.15,927.0,44978.0
2026-05-12 14:15:00,927.0,927.8,925.55,927.35,27526.0
2026-05-12 14:20:00,926.7,928.0,925.7,927.55,50418.0
2026-05-12 14:25:00,927.55,927.55,925.05,925.6,21330.0
2026-05-12 14:30:00,925.7,926.0,922.2,923.0,35344.0
2026-05-12 14:35:00,922.9,923.9,921.0,922.65,44933.0
2026-05-12 14:40:00,922.6,922.85,921.0,922.3,34372.0
2026-05-12 14:45:00,922.4,922.9,920.2,921.8,29259.0
2026-05-12 14:50:00,921.8,928.45,917.0,928.15,132842.0
2026-05-12 14:55:00,928.15,930.0,927.1,929.3,148953.0
2026-05-12 15:00:00,928.9,928.9,921.55,924.45,139220.0
2026-05-12 15:05:00,924.7,926.55,922.5,925.15,89666.0
2026-05-12 15:10:00,925.15,926.85,924.15,926.4,81109.0
