timestamp,open,high,low,close,volume
2026-05-12 09:15:00,971.0,979.95,966.95,967.2,297004.0
2026-05-12 09:30:00,967.1,968.85,964.0,965.3,255316.0
2026-05-12 09:45:00,965.25,967.95,964.5,965.25,154678.0
2026-05-12 10:00:00,965.35,965.6,962.4,962.6,186479.0
2026-05-12 10:15:00,962.7,963.9,955.1,955.5,281207.0
2026-05-12 10:30:00,955.5,957.35,953.1,953.35,286806.0
2026-05-12 10:45:00,953.5,953.5,948.75,948.75,439454.0
2026-05-12 11:00:00,948.75,949.9,947.0,947.25,215953.0
2026-05-12 11:15:00,947.25,948.6,946.0,946.8,195627.0
2026-05-12 11:30:00,946.75,948.8,944.75,948.05,360970.0
2026-05-12 11:45:00,948.05,949.45,945.1,946.45,305050.0
2026-05-12 12:00:00,946.55,946.55,945.0,945.1,212731.0
2026-05-12 12:15:00,945.1,949.65,945.0,947.2,282593.0
2026-05-12 12:30:00,947.25,947.25,942.05,943.95,223940.0
2026-05-12 12:45:00,943.95,944.95,942.65,942.75,147346.0
2026-05-12 13:00:00,942.75,944.05,941.6,943.25,259479.0
2026-05-12 13:15:00,943.2,945.0,939.95,942.65,475495.0
2026-05-12 13:30:00,942.75,943.3,935.5,937.1,365920.0
2026-05-12 13:45:00,937.0,940.25,936.7,937.05,326933.0
2026-05-12 14:00:00,936.8,937.45,932.5,932.95,463844.0
2026-05-12 14:15:00,932.75,937.3,932.5,936.0,406267.0
2026-05-12 14:30:00,936.0,938.0,934.0,937.65,459378.0
2026-05-12 14:45:00,937.3,938.4,933.4,934.3,509932.0
2026-05-12 15:00:00,934.35,934.35,925.95,926.55,737669.0
2026-05-12 15:15:00,926.65,935.0,926.65,933.5,809721.0
2026-05-13 09:15:00,925.2,938.4,921.35,921.35,700329.0
2026-05-13 09:30:00,921.5,923.05,915.0,918.1,399425.0
2026-05-13 09:45:00,918.05,923.5,915.0,920.3,486302.0
2026-05-13 10:00:00,920.45,925.85,920.15,922.3,394057.0
2026-05-13 10:15:00,922.1,927.1,922.1,925.1,328052.0
2026-05-13 10:30:00,924.95,926.4,923.5,924.2,248041.0
2026-05-13 10:45:00,924.25,926.1,919.05,919.3,289484.0
2026-05-13 11:00:00,919.05,921.55,918.1,919.0,460431.0
2026-05-13 11:15:00,919.05,919.85,916.4,918.9,244703.0
2026-05-13 11:30:00,918.9,927.0,918.85,926.2,334126.0
2026-05-13 11:45:00,927.6,929.5,925.4,926.8,295581.0
2026-05-13 12:00:00,926.8,930.8,926.8,930.2,220124.0
2026-05-13 12:15:00,929.8,930.9,927.0,927.85,184681.0
2026-05-13 12:30:00,927.85,928.75,923.9,925.1,233188.0
2026-05-13 12:45:00,925.1,932.4,924.65,932.35,252252.0
